comment,class
meu nome,0.0
que mulher ridicula,1.0
isso e simplismente ridiculo e um presente como voce tem coragem de fazer isso,1.0
ridiculo,1.0
eu ja vi porno q n era tao intimo quanto esse clip,1.0
voces chamam isso de musica estou feliz por ter conhecido a boa musica anos 80 e e 90,1.0
estao uma decadencia esses clipes so um monte de barulho letra que e bom nada,0.0
meu voce so falar besteira,0.0
arrasou se fosse um de funk tava todo ok agora como e uma mulher linda talentosa e problema se nao tivesse a as gada tava aplaudindo,0.0
305 ate 329 e claro elas sao bonitas e nn sao racistas igual vc,1.0
ajudem o a chegar a 1 milhao de incrito bora,0.0
e doente,1.0
eu nao sabia que ele era gay ou bi sei la so sei que queria desver essa karalha tem como todos os funks sao horriveis mas este,1.0
e muito rapido esso 1minuto,0.0
porra q mulher feia pra caralho,1.0
otima musica para botar no ano novo e ter uma brisa com a familia,0.0
crlh mano ela respira pela boca decerteza pk ela tem o nariz tapado ou fechado que feia meu deus ainda bem que nunca vi esta mulher na suica apanhava um susto,1.0
temos direito de atacar vc sim que atacou a menina sem ter feio nada sua perua,1.0
escrota,1.0
sou seu fa essa mulher e um mito,0.0
mininaaa gotoza q orgulha uss paiiss diimaiss da conta so,1.0
me soltaaaaa,0.0
o que um artista nao faz por fama saiu do armario,1.0
haters que lutem,0.0
amei,0.0
e feia e tu minha filha mais feia q tu nao existe aceita isso,1.0
p de pode ficar de 3,0.0
cara quando ela falou dos morangos vim conferir o clipe achei que era algo serio uma porr dessa mais eu intendir o significado desse clipe e pesado,0.0
o melhor,0.0
tomara que o youtube nao te de a de 1m pra largar de ser trouxa,1.0
quanta porcaria de musica sendo lancada nesse mundo sinceramente,1.0
troxaaaa,1.0
o final do clip e o unico de penhasco 2,0.0
caralho o som ficou muito maneiro mas que cena desnecessaria,0.0
alguem pode me ensinar como que fica de 3,0.0
nem precisa de ser tranz querida ta pa nascer o homem que quer te comer n usa oq tem msm,1.0
mano ela tem algum problema mental nao e possivel,1.0
disturbios,1.0
q ta acontecendo,0.0
gosto muito do seu canal mais isso nao foi uma boa atitude,0.0
pq tao perfeita essa musica,0.0
engracado ver crente veio aqui no youtube pra ouvir a musica pra criticar veio aqui pra criticar ou pra ver rebolar fala logo a verdade crente,0.0
mano q q e isso q tia louca,1.0
chega de internet por hoje,0.0
gostei do ritimo,0.0
aah recebi um iphone 6 da minha tia vo abri pra ver oque tem dentro mds velho,0.0
mano acho q a hemorroida delle ta passando do cu pro cerebro delle,1.0
vai devolve meus 9 segundos desperdicados,0.0
pra que isso mds mano,0.0
quem veio por causas dos memes,0.0
sua cara de satanas,1.0
ela fugiuuuuu do zoologico prendaaaaa elefante a nao e o capeta errei,1.0
nossa parece que o jogo virou,0.0
o yt deveria deletar esse canal,0.0
bora sonzers rumo a 20 milhoes,0.0
de 3 e pq com uma das maos ela ta fumando um baseado,0.0
que loucura cara que burrice cara que coisa mais absurda,1.0
a risada dela perece de uma bruxa,1.0
vamos de quebrar recorde ne mores,0.0
fica de 3 e ficar de 4 fumando maconha ou coisa assim e as flores sao o beck,0.0
ela parece o aquele que nao gosta do natal,0.0
que energia toxica que senti daqui intensamente toxica nao sei nem como existem homens que conseguem se atrair por algo desse tipo ate entendo alguns videos de sensualidades atrairem mas esse ai ta tao mas tao pesado que nem consigo acreditar sinceramente e lamentavel ver que uma mulher acha que precisa chegar a esse nivel eu tenho compaixao e me sinto trsite por ser mulher me sinto mau como se tivesse no lugar dela infelizmente as consequencias vem e espero que ela suporte seja liberta e comece a usar sua voz para adorar a deus algum dia que o arrependimento faca com que ela tenha um encontro com deus para ser tao segura que ela descubra que poderia ter riqueza mas juntamente com prosperidade melhor que e a do espirito santo habitando em sua vida,0.0
e engracado que os deslikes foram atribuidos aos revoltados pela separacao dela claro que nao pessima letra musica brega clipe nojento merecida a rejeicao,1.0
diva,0.0
e triste verem as pessoas se aproveitando da imagem homossexual para ganhar dinheiro e views cade o respeito,0.0
e so nao transar,0.0
ela tem serios problemas ta fazendp isso pq chamam ela de feia precisa se internar,0.0
onde e essas live que ela faz,0.0
ta repreendido,0.0
como ta seu instagram sou sua fa,0.0
nao vim aqui defender nem atacar ninguem so vim de curiosa e achei a musica uma bosta sorry,1.0
era referencia favelado q quebrou barreiras foi p virou esse negocio ai,0.0
dessa vez ela se superou muito alem da mediocridade habitual decidiu lancar mao de uma estetica perigosa e totalmente irresponsavel sexualizando imagens que remetem a um banho de sangue ela acaba apresentando a estetica da violencia como um produto descolado uma coisa banal sexy e aceitavel especialmente para os jovens que consomem o que ela produz somente na cabeca de gente muito abjeta e bacana promover esse espetaculo da sexualidade sangrenta so na cabeca de gente muito doente cabe erotizar uma composicao cenica que muito distante distante dos tais campos de morango remete a morte ao homicidio e ao sofrimento e perverso a verdade e que esse feminismo comercial e muito cinico glamuriza a linguagem da violencia banaliza os seus simbolos e depois vai posar de politizado e empatico nas redes sociais repetindo o surrado slogan do precisamos falar sobre feminicidio e violencia contra a mulher e realmente repugnante,1.0
a musica ate ficou maneira mas o cenario pique carrie a estranha,0.0
das duas uma ou ela quer fazer fama a todo custo ja que nao tem competencia ou e doente da cabeca digna de pena uma pessoa dessa se for normal nao e feliz,1.0
e porno e cruzes queria tanto que fosse melhor,1.0
e racista mas nao e transfobica estranho,1.0
amigo apaga que ta feio,1.0
o quer isso mano essa placa que vc destruio marco sua vida ou nao por quer isso que ta parecendo quer idiotice da sua parte,1.0
queria ver ela na fazenda,0.0
que putaria misericordia,1.0
nojo desse inseto,1.0
nojo desse demonio de nariz estragado,1.0
na minha humilde opiniao aquele paradigma criado pelo gabriel o pensador que as loiras sao burras caiu por terra ne pq essa e inteligente pra caralho pegou um otario paraiba comedor de calango que enriqueceu deu um cha de pomba nele e elw gamou ela fez nome atraves dele e agora ta dando pro amigo do casal e faturando muito com isso musica razoavel nota 7 clipe levemente quase bati uma nota 8 malandra gostosa que pegou um otario famoso nota 10 pela perseveranca corno fraco idiota que deve ta se remoendo vendo o cara la botar tudo na mulher dele nota 0,1.0
isso foi um pouco doido mas achei legal ver essa cena de quebramento da placa,0.0
campo de morango deveria ter vindo depois de la muerte 002,0.0
tem um ritoal,0.0
cara ingrato da porra,1.0
como uma pessoa dessa fica rica enquanto tanta gente boa e trabalhadora passando necessidade onde esse mundo vai parar gente,0.0
que babaca mesmo sabe nada contra mas tomara q sua placa de 1 m venha quebrada,1.0
o video de reproducao automatica veio remedios caseiros para curar hemorroidas entendedores entenderao,0.0
nao me conformo que essa musica tem so 1 minuto e 20 segundos deveria ser mais viciou demais,0.0
eu nunca teria coragem de fazer isso e nem faria poh isso e um presente cara que do,0.0
que merda de musica mano,1.0
eu aqui querendo 200 subs,0.0
tanta gente querendo isso e voce ai,0.0
os morangos nao merecia isso,0.0
b de babem nesse clipe,0.0
como eu cai nesse video eu nao sei mas e muito engrassado ver o chat dela,0.0
nunca vi cao chupando manda ue e so vc olhar pro espelho simples d,1.0
rasta,0.0
musica lixo performance forcada ridicula o conceito de musica nao existe mais,1.0
orgulho de viver na mesma epoca em que existe,0.0
que oooddiioooo dessa mulher da vontade de matar,1.0
nao se mexe com crianca nao,0.0
esse videoclip ta igual meu dia uma boxta,1.0
vcs devem ver que ele ta interpretando um personagem o cara e ator troxas ficou da hora so exagerou,0.0
os comentarios sao os melhores,0.0
tenho vontade de vomitar vendo o que e menina se transformou,1.0
fodase,1.0
16 milhoes,0.0
v de vem um hit incrivel ai,0.0
p de perfeita,0.0
morri,0.0
musica horrivel afinacao pior ainda,1.0
para esse busao que quero desse,0.0
belezura de musica,0.0
a maior,0.0
tu e maluco cara vc nao merece ta no youtube pois quem ta no youtube e so pessoas honestas que trabalham pra fazer o seu futuro ja vc ai jogando dinheiro fora quanto sera pra fazer um bordao de prata em e caro sabia rumo a 1 milhao va sonhando k e asse video vei tu ja perdeu a maioria dos teus escritos principalmente eu pq n vo se inscrita em um canal de gente que rasga dinheiro fora e que e egoista muito obrigada mas tchau bjs,1.0
no caso se vc fez isso na de 100k provavelmente voce tbm vai fazer isso com a de 1m e dizer pros seus inscritos que fez isso de novo por que quer a de 10m p,0.0
t de tudo pra mim,0.0
so observo,0.0
a placa e dele se ele quizer ficar ou destruir ele escolhe e vcs que tao querendo uma solamento ele conseguiu e o nome dele que ta la nao o seu,0.0
partiu 5 milhoes de deslikes,0.0
ele saiu do armario ou e impressao mh,1.0
ela consegue respirar com esse nariz essa plastica num deu certo,0.0
q bosta,1.0
se as pessoas tivesse a msm atitude com os politicos o brasil nao seria um pais de terceiro mundo vao procurar oq fazer babacas,1.0
que porra de musica e essa porno pra cego,1.0
voce realmente e a definicao de um idiota espero que o youtube nem te entregue de ilhao,1.0
pra que fazer isso,0.0
nao tenho preconceito na vdd eu apoio muito mas acho que ele apelou demais ta querendo midia,0.0
esta mulher tem ganhar centavo por fala esta mulher e a heranca que deixo,0.0
viadagem,1.0
credo,0.0
sem duvidas muito satanista,1.0
q bosta,1.0
caramba se eu sonho com ade 10000 inscritos,0.0
que mulher vulgar,1.0
vergonha alheia e pior que passar vergonha genteeu sinto agonia de ver esse clipe ate o final,1.0
nojenta,1.0
video lixo lixo,1.0
vamos la vamos chegar a 1 000 000,0.0
incrivel,0.0
que bosta,1.0
musica ruim,0.0
mano essa mulher nao tem vergonha nao,0.0
man dex o cara quieto a placa e dele e ele faz o que ele quizer com ela,0.0
parece mais que dormiu excitada e acordou mestruada em algum lugar,0.0
que servico,0.0
serio,0.0
sao poucos que tem a coragem de fazer um clipe deste e ser homem,0.0
sem palavras cara a placa era sua e voce fez o quis tudo bem mas isso doeu o coracao mano,0.0
t de tudo pra todos,0.0
o nome desse clipe e diarrea misturada com mestruacao,1.0
mo gay beijou homem,1.0
menus 1 inscrito quem ta comigo,0.0
que cara idiota mano,1.0
entendemos agora pq chico te traiu,1.0
fui pesquisar o que e gore e ao ver as imagens lembrei desse clip pesado,0.0
simplesmente perfeita,0.0
uma vergonha,1.0
que bosta,1.0
deu foi medo e e estranho sexo e medo me remete a abuso sexual mas colocou ai como gostoso e depois a menina traumatizada como se tivesse transado com um espirito sei la em sonho misericordia,0.0
eu tava achando engracado ate q mds desnecessario isso,0.0
mulher facil nao presta nao swi como aguentou ela,1.0
toma mas 6 deslaike,0.0
amei sempre um icone,0.0
103 eu ri,0.0
meu deus mas que merda e essa,1.0
so ta priorando,0.0
como que vcs deixam o like em um video desses mds,0.0
540 vcs tao sendo racistas comigo,0.0
alguem pode me dizer como uma pessoa consegue ficar de 3,0.0
cara eu sei que vc so queria soar mas de setor modo vc ta molhando aquela yutubers que nao tem 300 k,0.0
k de ke musica booa,0.0
